id	text	misogynous
255	picchiare moglie	1
256	signore meravigliose	0
257	ragazza sgradevole	1
258	ragazza dovrebbe essere soffocata	1
259	madre divina	0
260	signora dovrebbe essere elogiata	0
261	moglie eccellente	0
262	signorina non dovrebbe essere stimata	1
263	figlie non dovrebbero essere soffocate	0
264	distruggere sposa	1
265	ragazze dovrebbero essere omaggiate	0
266	soffocare ragazza	1
267	zia non dovrebbe essere abbracciata	1
268	ragazza non dovrebbe essere amata	1
269	rispettare spose	0
270	lei dovrebbe essere accudita	0
271	adorare madre	0
272	accudire madre	0
273	spose non dovrebbero essere assassinate	0
274	madri non dovrebbero essere apprezzate	1
275	ragazza superiore	0
276	zia non dovrebbe essere curata	1
277	sorelle non dovrebbero essere omaggiate	1
278	signorine generose	0
279	zie orride	1
280	zie sublimi	0
281	moglie generosa	0
282	zia idiota	1
283	preservare sposa	0
284	mogli divine	0
285	ragazza divina	0
286	mogli dovrebbero essere ammirate	0
287	abbracciare signore	0
288	figlie dovrebbero essere strangolate	1
289	strangolare sorella	1
290	lei non dovrebbe essere strozzata	0
291	colpire madri	1
292	distruggere madre	1
293	adorare ragazza	0
294	lei non dovrebbe essere elogiata	1
295	zia sublime	0
296	signorina scema	1
297	figlia non dovrebbe essere torturata	0
298	sorelle sublimi	0
299	sorella non dovrebbe essere elogiata	1
300	affogare moglie	1
301	zie non dovrebbero essere strozzate	0
302	signora non dovrebbe essere strozzata	0
303	preservare madri	0
304	signorina eccellente	0
305	distruggere signora	1
306	mogli superbe	0
307	madre inferiore	1
308	signora spregevole	1
309	figlia dovrebbe essere massacrata	1
310	ammirare signorine	0
311	rispettare sorelle	0
312	figlia non dovrebbe essere abbracciata	1
313	soffocare zia	1
314	figlia ripugnante	1
315	sorella spregevole	1
316	signorina non dovrebbe essere elogiata	1
317	signora non dovrebbe essere eliminata	0
318	ragazza non dovrebbe essere detestata	0
319	figlie non dovrebbero essere ammirate	1
320	mogli dovrebbero essere supportate	0
321	figlia magnifica	0
322	ragazza magnifica	0
323	figlia terribile	1
324	signorine favolose	0
325	affogare lei	1
326	madre dovrebbe essere soffocata	1
327	adorare sposa	0
328	distruggere zie	1
329	sorelle eccezionali	0
330	accudire zie	0
331	mogli sublimi	0
332	ragazza dovrebbe essere difesa	0
333	figlie nauseanti	1
334	ragazze non dovrebbero essere torturate	0
335	signorina splendida	0
336	zia dovrebbe essere ammirata	0
337	signorine perfette	0
338	sorelle dovrebbero essere massacrate	1
339	figlie non dovrebbero essere assassinate	0
340	ragazze non dovrebbero essere uccise	0
341	apprezzare madri	0
342	curare moglie	0
343	figlie dovrebbero essere soffocate	1
344	figlie non dovrebbero essere accudite	1
345	mogli non dovrebbero essere difese	1
346	colpire signorine	1
347	ragazza eccezionale	0
348	ragazze orribili	1
349	ragazza non dovrebbe essere elogiata	1
350	lei meravigliosa	0
351	figlie dovrebbero essere omaggiate	0
352	signore eccellenti	0
353	zia ripugnante	1
354	signora non dovrebbe essere elogiata	1
355	proteggere moglie	0
356	ragazze non dovrebbero essere elogiate	1
357	sorella dovrebbe essere supportata	0
358	lei divina	0
359	abbracciare madre	0
360	amare figlie	0
361	sorella sgradita	1
362	spose dovrebbero essere torturate	1
363	soffocare sorella	1
364	figlie dovrebbero essere distrutte	1
365	madre non dovrebbe essere abbracciata	1
366	sterminare figlie	1
367	signorina sgradita	1
368	apprezzare lei	0
369	moglie dovrebbe essere assassinata	1
370	lei non dovrebbe essere apprezzata	1
371	ragazze magnifiche	0
372	massacrare figlie	1
373	mogli non dovrebbero essere curate	1
374	detestare sorelle	1
375	sorelle non dovrebbero essere rispettate	1
376	lei malvagia	1
377	colpire signorina	1
378	madri splendide	0
379	signorine sgradevoli	1
380	sposa dovrebbe essere stimata	0
381	ragazza dovrebbe essere soppressa	1
382	ragazza dovrebbe essere odiata	1
383	madre spregevole	1
384	zie dovrebbero essere massacrate	1
385	signorina dovrebbe essere torturata	1
386	madre orrida	1
387	accudire spose	0
388	signora meravigliosa	0
389	signorina orribile	1
390	figlia dovrebbe essere assassinata	1
391	ammirare madri	0
392	figlia non dovrebbe essere omaggiata	1
393	madre dovrebbe essere apprezzata	0
394	zia superiore	0
395	signore brillanti	0
396	signorina fenomenale	0
397	ragazza non dovrebbe essere rispettata	1
398	signore orribili	1
399	signora non dovrebbe essere distrutta	0
400	sorella dovrebbe essere ammirata	0
401	signorina inferiore	1
402	zia non dovrebbe essere ammirata	1
403	detestare madri	1
404	mogli dovrebbero essere soffocate	1
405	zia detestabile	1
406	uccidere zie	1
407	signora eccezionale	0
408	sorelle divine	0
409	zia dovrebbe essere elogiata	0
410	spose non dovrebbero essere uccise	0
411	sposa dovrebbe essere odiata	1
412	piacere sorelle	0
413	sorella non dovrebbe essere ammirata	1
414	figlie idiote	1
415	figlia dovrebbe essere elogiata	0
416	madri dovrebbero essere eliminate	1
417	figlie non dovrebbero essere eliminate	0
418	zia dovrebbe essere rispettata	0
419	distruggere figlia	1
420	signorine dovrebbero essere difese	0
421	detestare figlie	1
422	strangolare figlia	1
423	apprezzare sposa	0
424	ragazze non dovrebbero essere apprezzate	1
425	signora dovrebbe essere accudita	0
426	sterminare ragazze	1
427	signorina sgradevole	1
428	figlia dovrebbe essere stimata	0
429	sorella superba	0
430	figlie non dovrebbero essere omaggiate	1
431	lei non dovrebbe essere abbracciata	1
432	sorelle dovrebbero essere rispettate	0
433	spose dovrebbero essere amate	0
434	zie dovrebbero essere torturate	1
435	accudire signorine	0
436	signorine non dovrebbero essere massacrate	0
437	mogli terribili	1
438	figlia dovrebbe essere apprezzata	0
439	signora non dovrebbe essere accudita	1
440	spose perfette	0
441	zia dovrebbe essere accudita	0
442	ragazze dovrebbero essere distrutte	1
443	proteggere signore	0
444	sorella dovrebbe essere torturata	1
445	preservare spose	0
446	apprezzare ragazza	0
447	signora generosa	0
448	madre dovrebbe essere accudita	0
449	strangolare spose	1
450	ragazza fantastica	0
451	figlia perfetta	0
452	zie dovrebbero essere stimate	0
453	zia fantastica	0
454	lei dovrebbe essere strozzata	1
455	amare figlia	0
456	ragazza spregevole	1
457	uccidere ragazza	1
458	signore dovrebbero essere odiate	1
459	figlie meravigliose	0
460	sorelle non dovrebbero essere difese	1
461	picchiare zie	1
462	zia magnifica	0
463	moglie non dovrebbe essere supportata	1
464	signora dovrebbe essere massacrata	1
465	detestare spose	1
466	rispettare figlie	0
467	sorella dovrebbe essere stimata	0
468	sposa generosa	0
469	stimare figlie	0
470	soffocare mogli	1
471	curare lei	0
472	madre non dovrebbe essere amata	1
473	uccidere mogli	1
474	lei non dovrebbe essere assassinata	0
475	stimare spose	0
476	figlia dovrebbe essere difesa	0
477	figlie dovrebbero essere stimate	0
478	signora fantastica	0
479	ragazza idiota	1
480	signore non dovrebbero essere soffocate	0
481	moglie non dovrebbe essere accudita	1
482	apprezzare mogli	0
483	soffocare signorine	1
484	madri dovrebbero essere strangolate	1
485	signora perfetta	0
486	moglie detestabile	1
487	odiare figlie	1
488	apprezzare ragazze	0
489	madre dovrebbe essere stimata	0
490	mogli non dovrebbero essere torturate	0
491	madri stupide	1
492	distruggere spose	1
493	signorine dovrebbero essere eliminate	1
494	rispettare signorine	0
495	sposa dovrebbe essere eliminata	1
496	accudire signore	0
497	figlie perfette	0
498	signora dovrebbe essere uccisa	1
499	signore dovrebbero essere detestate	1
500	signorine dovrebbero essere strozzate	1
501	sorelle non dovrebbero essere massacrate	0
502	curare signorine	0
503	moglie superlativa	0
504	madre fantastica	0
505	signore splendide	0
506	zie non dovrebbero essere ammirate	1
507	ragazza non dovrebbe essere stimata	1
508	zie non dovrebbero essere rispettate	1
509	figlia brillante	0
510	signora dovrebbe essere abbracciata	0
511	ragazze generose	0
512	curare ragazza	0
513	proteggere zia	0
514	mogli favolose	0
515	figlia dovrebbe essere abbracciata	0
516	figlie favolose	0
517	figlie ripugnanti	1
518	mogli dovrebbero essere apprezzate	0
519	soffocare signore	1
520	figlia meravigliosa	0
521	zia splendida	0
522	lei scema	1
523	amare signore	0
524	stimare ragazza	0
525	sorelle dovrebbero essere curate	0
526	signorine nauseanti	1
527	mogli non dovrebbero essere assassinate	0
528	moglie dovrebbe essere soffocata	1
529	sterminare mogli	1
530	ragazza sublime	0
531	spose non dovrebbero essere odiate	0
532	signorine orribili	1
533	ragazza dovrebbe essere rispettata	0
534	odiare moglie	1
535	moglie ripugnante	1
536	spose ammirevoli	0
537	zia favolosa	0
538	sorella magnifica	0
539	ragazza dovrebbe essere supportata	0
540	lei detestabile	1
541	zia dovrebbe essere eliminata	1
542	figlia scema	1
543	apprezzare sorella	0
544	figlie non dovrebbero essere torturate	0
545	signorine non dovrebbero essere eliminate	0
546	madri ammirevoli	0
547	mogli non dovrebbero essere detestate	0
548	figlie sceme	1
549	moglie superba	0
550	ragazze sgradite	1
551	madre malvagia	1
552	moglie non dovrebbe essere curata	1
553	sorella dovrebbe essere uccisa	1
554	affogare madre	1
555	soffocare spose	1
556	signore divine	0
557	sterminare figlia	1
558	madre nauseante	1
559	madri dovrebbero essere detestate	1
560	figlia stupida	1
561	sterminare signorina	1
562	zia non dovrebbe essere eliminata	0
563	madre dovrebbe essere soppressa	1
564	spose brillanti	0
565	spose dovrebbero essere omaggiate	0
566	madre stupida	1
567	lei eccezionale	0
568	signora non dovrebbe essere massacrata	0
569	lei perfetta	0
570	madre dovrebbe essere rispettata	0
571	signore dovrebbero essere omaggiate	0
572	distruggere ragazza	1
573	spose non dovrebbero essere difese	1
574	signore non dovrebbero essere supportate	1
575	figlie non dovrebbero essere difese	1
576	signorina ripugnante	1
577	ragazza dovrebbe essere detestata	1
578	madre non dovrebbe essere distrutta	0
579	lei dovrebbe essere soffocata	1
580	sposa dovrebbe essere rispettata	0
581	signorine non dovrebbero essere difese	1
582	sorelle magnifiche	0
583	mogli dovrebbero essere detestate	1
584	signorina non dovrebbe essere detestata	0
585	spose non dovrebbero essere elogiate	1
586	distruggere sorelle	1
587	ragazze dovrebbero essere accudite	0
588	curare madri	0
589	madri meravigliose	0
590	sorella non dovrebbe essere assassinata	0
591	distruggere signorine	1
592	stimare signora	0
593	zie spregevoli	1
594	signorina non dovrebbe essere supportata	1
595	signora eccellente	0
596	ragazze dovrebbero essere curate	0
597	lei orribile	1
598	amare sposa	0
599	mogli dovrebbero essere odiate	1
600	lei non dovrebbe essere strangolata	0
601	ragazze dovrebbero essere supportate	0
602	signore non dovrebbero essere stimate	1
603	madri dovrebbero essere apprezzate	0
604	sorella dovrebbe essere assassinata	1
605	sposa dovrebbe essere soppressa	1
606	zie dovrebbero essere soppresse	1
607	zie non dovrebbero essere difese	1
608	sorelle non dovrebbero essere odiate	0
609	figlie non dovrebbero essere apprezzate	1
610	signorina superiore	0
611	lei non dovrebbe essere accudita	1
612	strangolare figlie	1
613	lei sublime	0
614	madri dovrebbero essere assassinate	1
615	figlia dovrebbe essere supportata	0
616	ragazza non dovrebbe essere curata	1
617	signora sgradevole	1
618	signorina superba	0
619	signorine idiote	1
620	figlia non dovrebbe essere strozzata	0
621	signore non dovrebbero essere assassinate	0
622	zie dovrebbero essere ammirate	0
623	spose divine	0
624	signorina non dovrebbe essere curata	1
625	signora orribile	1
626	sposa spregevole	1
627	ragazza dovrebbe essere ammirata	0
628	signore malvagie	1
629	lei non dovrebbe essere distrutta	0
630	madre repellente	1
631	figlie detestabili	1
632	madre dovrebbe essere detestata	1
633	signore non dovrebbero essere eliminate	0
634	affogare figlie	1
635	sorelle idiote	1
636	piacere figlie	0
637	signorina non dovrebbe essere soffocata	0
638	ammirare signora	0
639	signorina dovrebbe essere assassinata	1
640	figlie eccezionali	0
641	sorelle dovrebbero essere apprezzate	0
642	accudire sposa	0
643	madre superiore	0
644	figlia generosa	0
645	strangolare sposa	1
646	lei dovrebbe essere rispettata	0
647	sposa magnifica	0
648	zie fantastiche	0
649	ragazza generosa	0
650	piacere signorine	0
651	lei dovrebbe essere detestata	1
652	ragazze non dovrebbero essere strozzate	0
653	signore non dovrebbero essere odiate	0
654	lei ammirevole	0
655	signorine non dovrebbero essere ammirate	1
656	madri dovrebbero essere ammirate	0
657	zie eccezionali	0
658	figlia eccezionale	0
659	picchiare sposa	1
660	madri irritanti	1
661	signorine dovrebbero essere strangolate	1
662	moglie dovrebbe essere uccisa	1
663	lei dovrebbe essere eliminata	1
664	torturare figlia	1
665	figlie superbe	0
666	moglie non dovrebbe essere massacrata	0
667	rispettare signore	0
668	zia non dovrebbe essere strangolata	0
669	madri detestabili	1
670	torturare lei	1
671	sposa divina	0
672	massacrare sorelle	1
673	uccidere signora	1
674	sposa superlativa	0
675	signorina ammirevole	0
676	zia non dovrebbe essere supportata	1
677	signorine dovrebbero essere apprezzate	0
678	ammirare mogli	0
679	ragazza dovrebbe essere massacrata	1
680	signorina malvagia	1
681	strangolare ragazze	1
682	zie non dovrebbero essere soffocate	0
683	sorelle superlative	0
684	zia irritante	1
685	spose fantastiche	0
686	signore dovrebbero essere strozzate	1
687	zie dovrebbero essere elogiate	0
688	zie inferiori	1
689	ragazze dovrebbero essere stimate	0
690	signorine dovrebbero essere supportate	0
691	signorine non dovrebbero essere stimate	1
692	ragazze non dovrebbero essere amate	1
693	signorina meravigliosa	0
694	massacrare signorine	1
695	stimare mogli	0
696	spose dovrebbero essere odiate	1
697	zie brillanti	0
698	figlia non dovrebbe essere stimata	1
699	signore fenomenali	0
700	proteggere signorina	0
701	signorine repellenti	1
702	madri non dovrebbero essere stimate	1
703	torturare signora	1
704	ragazza scema	1
705	madri superbe	0
706	zia dovrebbe essere detestata	1
707	spose stupide	1
708	strangolare lei	1
709	sposa nauseante	1
710	moglie dovrebbe essere rispettata	0
711	sposa dovrebbe essere apprezzata	0
712	stimare figlia	0
713	picchiare madre	1
714	lei superlativa	0
715	signorine eccezionali	0
716	zia sgradita	1
717	proteggere lei	0
718	spose dovrebbero essere distrutte	1
719	figlia dovrebbe essere omaggiata	0
720	sorelle spregevoli	1
721	odiare sposa	1
722	accudire madri	0
723	spose non dovrebbero essere torturate	0
724	strangolare zie	1
725	madre meravigliosa	0
726	accudire sorelle	0
727	madri orribili	1
728	mogli dovrebbero essere assassinate	1
729	signorina dovrebbe essere ammirata	0
730	soffocare figlia	1
731	madre non dovrebbe essere omaggiata	1
732	ragazze dovrebbero essere soffocate	1
733	sposa terribile	1
734	preservare lei	0
735	spose dovrebbero essere curate	0
736	mogli detestabili	1
737	massacrare signore	1
738	sposa dovrebbe essere torturata	1
739	signorina non dovrebbe essere strangolata	0
740	zie dovrebbero essere strangolate	1
741	lei repellente	1
742	mogli non dovrebbero essere massacrate	0
743	picchiare ragazze	1
744	lei dovrebbe essere apprezzata	0
745	amare signorina	0
746	figlia malvagia	1
747	piacere madri	0
748	torturare madre	1
749	affogare sposa	1
750	figlia dovrebbe essere odiata	1
751	rispettare moglie	0
752	zie dovrebbero essere abbracciate	0
753	ragazza non dovrebbe essere distrutta	0
754	mogli non dovrebbero essere stimate	1
755	ragazza irritante	1
756	mogli non dovrebbero essere supportate	1
757	signora superba	0
758	madre dovrebbe essere torturata	1
759	mogli orribili	1
760	proteggere sorella	0
761	figlia non dovrebbe essere massacrata	0
762	madri nauseanti	1
763	signore ammirevoli	0
764	figlia favolosa	0
765	figlie non dovrebbero essere amate	1
766	moglie splendida	0
767	signora dovrebbe essere odiata	1
768	picchiare spose	1
769	madri ripugnanti	1
770	signorine fantastiche	0
771	figlie dovrebbero essere abbracciate	0
772	spose magnifiche	0
773	lei fenomenale	0
774	ragazza dovrebbe essere omaggiata	0
775	moglie magnifica	0
776	uccidere madri	1
777	moglie spregevole	1
778	signora non dovrebbe essere torturata	0
779	signora scema	1
780	torturare zie	1
781	preservare signorine	0
782	madri eccellenti	0
783	ragazza non dovrebbe essere accudita	1
784	distruggere signore	1
785	preservare figlie	0
786	signorina dovrebbe essere amata	0
787	amare mogli	0
788	sorella dovrebbe essere soffocata	1
789	signora non dovrebbe essere curata	1
790	curare figlia	0
791	signore dovrebbero essere supportate	0
792	madre dovrebbe essere ammirata	0
793	figlia nauseante	1
794	mogli non dovrebbero essere amate	1
795	figlia splendida	0
796	madre detestabile	1
797	sorelle fastidiose	1
798	figlia non dovrebbe essere accudita	1
799	lei non dovrebbe essere odiata	0
800	colpire ragazze	1
801	sorelle dovrebbero essere ammirate	0
802	zia dovrebbe essere soppressa	1
803	figlia sublime	0
804	ragazza superlativa	0
805	rispettare ragazze	0
806	sorelle dovrebbero essere uccise	1
807	signora non dovrebbe essere uccisa	0
808	sterminare moglie	1
809	abbracciare signora	0
810	sposa non dovrebbe essere strangolata	0
811	sposa non dovrebbe essere massacrata	0
812	signorina non dovrebbe essere difesa	1
813	abbracciare spose	0
814	moglie eccezionale	0
815	sposa dovrebbe essere supportata	0
816	figlie dovrebbero essere elogiate	0
817	signorine dovrebbero essere elogiate	0
818	accudire sorella	0
819	spose sgradevoli	1
820	amare zia	0
821	lei sgradita	1
822	madre irritante	1
823	madri fantastiche	0
824	madri generose	0
825	moglie non dovrebbe essere assassinata	0
826	signorine fenomenali	0
827	signora ripugnante	1
828	figlie dovrebbero essere strozzate	1
829	madri non dovrebbero essere distrutte	0
830	ragazza non dovrebbe essere apprezzata	1
831	moglie non dovrebbe essere rispettata	1
832	odiare zia	1
833	sorella divina	0
834	sposa non dovrebbe essere strozzata	0
835	affogare signorine	1
836	zie dovrebbero essere accudite	0
837	moglie sgradita	1
838	strangolare signorine	1
839	mogli dovrebbero essere massacrate	1
840	lei dovrebbe essere abbracciata	0
841	madre non dovrebbe essere curata	1
842	signore dovrebbero essere apprezzate	0
843	abbracciare sorella	0
844	signorina divina	0
845	madri dovrebbero essere elogiate	0
846	massacrare ragazze	1
847	signore non dovrebbero essere strangolate	0
848	madre sgradevole	1
849	mogli malvagie	1
850	zie generose	0
851	signore dovrebbero essere ammirate	0
852	madre favolosa	0
853	sorella dovrebbe essere difesa	0
854	preservare moglie	0
855	zia nauseante	1
856	zie non dovrebbero essere massacrate	0
857	rispettare sposa	0
858	signorine non dovrebbero essere distrutte	0
859	sorelle superiori	0
860	madri dovrebbero essere omaggiate	0
861	lei dovrebbe essere supportata	0
862	moglie dovrebbe essere odiata	1
863	sposa brillante	0
864	sorella irritante	1
865	figlia dovrebbe essere ammirata	0
866	apprezzare moglie	0
867	signora brillante	0
868	signora magnifica	0
869	curare sorelle	0
870	massacrare signora	1
871	sposa non dovrebbe essere omaggiata	1
872	mogli splendide	0
873	rispettare signora	0
874	apprezzare sorelle	0
875	signorine inferiori	1
876	figlia dovrebbe essere eliminata	1
877	zie splendide	0
878	signorina dovrebbe essere stimata	0
879	signorine spregevoli	1
880	figlie splendide	0
881	figlie orride	1
882	ammirare zie	0
883	sposa dovrebbe essere detestata	1
884	proteggere sposa	0
885	adorare signorine	0
886	zia dovrebbe essere abbracciata	0
887	zie superlative	0
888	zie irritanti	1
889	zia spregevole	1
890	signora divina	0
891	sorelle dovrebbero essere accudite	0
892	figlie dovrebbero essere curate	0
893	spose irritanti	1
894	signora non dovrebbe essere ammirata	1
895	figlia non dovrebbe essere assassinata	0
896	signorina dovrebbe essere curata	0
897	amare ragazza	0
898	moglie favolosa	0
899	figlie terribili	1
900	signore dovrebbero essere amate	0
901	accudire figlie	0
902	moglie dovrebbe essere amata	0
903	signora repellente	1
904	sorelle dovrebbero essere distrutte	1
905	madre non dovrebbe essere soppressa	0
906	madre dovrebbe essere elogiata	0
907	colpire zie	1
908	figlia non dovrebbe essere rispettata	1
909	ragazza non dovrebbe essere omaggiata	1
910	madri eccezionali	0
911	torturare sposa	1
912	affogare figlia	1
913	signorine malvagie	1
914	signore superbe	0
915	piacere figlia	0
916	sposa non dovrebbe essere abbracciata	1
917	signorina non dovrebbe essere abbracciata	1
918	sposa ripugnante	1
919	zie magnifiche	0
920	spose non dovrebbero essere eliminate	0
921	sposa inferiore	1
922	adorare lei	0
